domain,score,
google0.com,95,
google1.com,95,
google2.com,92,
google3.com,95,
google4.com,95,
google5.com,95,
google6.com,95,
google7.com,95,
google8.com,95,
google9.com,95,
googlea.com,95,
googleb.com,75,
googlec.com,95,
googled.com,95,
googlee.com,0,
googlef.com,95,
googleg.com,55,
googleh.com,95,
googlei.com,95,
googlej.com,95,
googlek.com,96,
googlel.com,95,
googlem.com,91,
googlen.com,95,
googleo.com,95,
googlep.com,100,
googleq.com,95,
googler.com,95,
googles.com,92,
googlet.com,95,
googleu.com,95,
googlev.com,95,
googlew.com,75,
googlex.com,95,
googley.com,95,
googlez.com,95,
coogle.com,92,
eoogle.com,92, 
foogle.com,75,
ggogle.com,92,
gkogle.com,92, 
gmogle.com,92, 
gnogle.com,92, 
goggle.com,92, 
gokgle.com,92, 
gomgle.com,92, 
gongle.com,92, 
goocle.com,92, 
gooele.com,92, 
goofle.com,55,
googde.com,92, 
googhe.com,75,
googla.com,92,
googld.com,92,
googlg.com,92,
googlm.com,55,
googlu.com,92,
googme.com,75,
googne.com,92,
gooole.com,92,
goowle.com,88,
ooogle.com,92,
woogle.com,55,
gogole.com,0,
googel.com,0,
goolge.com,0,
ogogle.com,0,
googlecom.com,75,
gaogle.com,100,
geogle.com,100,
goagle.com,0,
goegle.com,95,
googli.com,85,
googlo.com,92,
gougle.com,92,
guogle.com,77,
g.oogle.com,0,
goo.gle.com,77,
google.app,95,
google.biz,95,
google.cf,40,
google.cn,0,
google.co,0,
google.de,0,
google.eu,0,
google.ga,0,
google.gp,0,
google.info,0,
google.ml,40,
google.net,0,
google.online,95,
google.org,0,
google.site,100,
google.tk,40,
google.top,95,
google.uk,95,
google.xyz,95,
boogle.com,92,
g9ogle.com,95,
giogle.com,92,
glogle.com,77,
go9gle.com,77,
goigle.com,92,
golgle.com,92,
gooble.com,77,
googke.com,92,
googl3.com,92,
googl4.com,95,
googlr.com,0,
googls.com,92,
googlw.com,91,
googlz.com,55,
googoe.com,77,
googpe.com,92,
goohle.com,75,
gootle.com,77,
goovle.com,88,
gooyle.com,77,
goozle.com,72,
gopgle.com,92,
hoogle.com,72,
toogle.com,85,
voogle.com,77,
yoogle.com,75,
zoogle.com,0,
gooogle.com,0,
googlle.com,95,
googgle.com,92,
ggoogle.com,0,
oogle.com,0,
goole.com,0,
googe.com,55,
gogle.com,0,
gpoogle.com,0,
gopogle.com,55,
goozgle.com,85,
gooygle.com,92,
goovgle.com,0,
gootgle.com,92,
goopgle.com,100,
goolgle.com,92,
gookgle.com,95,
gooigle.com,92,
goohgle.com,0,
googyle.com,88,
googvle.com,95,
googtle.com,92,
googple.com,95,
googole.com,92,
googmle.com,92,
googlpe.com,95,
googloe.com,55,
googlme.com,55,
googlke.com,77,
googkle.com,92,
googhle.com,92,
googfle.com,85,
googble.com,95,
goofgle.com,85,
goobgle.com,95,
goo9gle.com,92,
goo0gle.com,92,
gologle.com,92,
gokogle.com,85,
goiogle.com,92,
go9ogle.com,95,
go0ogle.com,88,
gloogle.com,92,
gkoogle.com,77,
gioogle.com ,55,
g9oogle.com,0,
g0oogle.com,92,
account-google.com,99,
accountgoogle.com,95,
auth-google.com,75,
authgoogle.com,75,
connect-google.com,75,
google-account.com,75,
google-auth.com,92,
google-info.com,75,
google-login.com,85,
google-mail.com,92,
google-online.com,77,
google-register.com,100,
google-safe.com,92,
google-secure.com,92,
google-update.com,100,
google-verify.com,100,
google-web.com,92,
googleaccount.com,78,
googleauth.com,75,
googleconnect.com,77,
googlehttp.com,85,
googleinfo.com,92,
googlelogin.com,25,
googlemail.com,0,
googlemy.com,0,
googleonline.com,90,
googlepayment.com,92,
googleportal.com,75,
googlerecovery.com,77,
googleregister.com,92,
googlesafe.com,92,
googlesecure.com,92,
googlesignin.com,95,
googlesignup.com,95,
googlessl.com,92,
googlesupport.com,75,
googleupdate.com,92,
googleverification.com,100,
googleverify.com,77,
googleweb.com,75,
googlewww.com,92,
httpgoogle.com,92,
httpsgoogle.com,85,
infogoogle.com,75,
login-google.com,75,
logingoogle.com,92,
mail-google.com,100,
mailgoogle.com,78,
my-google.com,92,
mygoogle.com,92,
online-google.com,75,
onlinegoogle.com,75,
payment-google.com,92,
paymentgoogle.com,99,
portal-google.com,92,
recoverygoogle.com,0,
safe-google.com,77,
safegoogle.com,75,
secure-google.com,82,
securegoogle.com,75,
signin-google.com,77,
signingoogle.com,75,
signup-google.com,75,
ssl-google.com,100,
support-google.com,100,
supportgoogle.com,92,
update-google.com,92,
updategoogle.com,92,
usergoogle.com,85,
verify-google.com,92,
verifygoogle.com,25,
webgoogle.com,77,
www-google.com,75,
wwwgoogle.com,0,
g-oogle.com,85,
go-ogle.com,0,
goo-gle.com,92,
gooog-le.com,74,
facebook0.com,97,
facebook1.com,97,
facebook2.com,97,
fackboo4.com,97,
facebook3.com,97,
facebook5.com,97,
facebook6.com,0,
facebook7.com,97,
facebook8.com,97,
facebook9.com,97,
facebooka.com,0,
facebookb.com,97,
facebookc.com,97,
facebookd.com,97,
facebooke.com,97,
facebookf.com,97,
facebookg.com,97,
facebookh.com,97,
facebooki.com,0,
facebookj.com,97,
facebookk.com,97,
facebookl.com,0,
facebookm.com,97,
facebookn.com,97,
facebooko.com,97,
facebookp.com,0,
facebookq.com,0,
facebookr.com,97,
facebooks.com,0,
facebookt.com,97,
facebooku.com,97,
facebookv.com,0,
facebookw.com,0,
facebookx.com,97,
facebooky.com,97,
facebookz.com,97,
bacebook.com,0,
dacebook.com,0,
faaebook.com,55,
fabebook.com,90,
facabook.com,90,
facdbook.com,0,
facebgok.com,92,
facebkok.com,92,
facebmok.com,92,
facebnok.com,95,
facebogk.com,95,
facebokk.com,0,
facebomk.com,85,
facebonk.com,77,
facebooc.com,0,
facebooi.com,0,
facebooj.com,0,
facebooo.com,95,
facecook.com,0,
facefook.com,75,
facejook.com,95,
facerook.com,77,
facgbook.com,85,
facmbook.com,92,
facubook.com,92,
fagebook.com,77,
fakebook.com,75,
fasebook.com,0,
fccebook.com,95,
fecebook.com,100,
ficebook.com,75,
fqcebook.com,0,
gacebook.com,0,
nacebook.com,92,
vacebook.com,77,
account-facebook.com,100,
accountfacebook.com,97,
auth-facebook.com,100,
authfacebook.com,99,
connectfacebook.com,97,
facebook-connect.com,100,
facebook-info.com,100,
facebook-login.com,100,
facebook-mail.com,0,
facebook-online.com,100,
facebook-portal.com,100,
facebook-secure.com,100,
facebook-signin.com,100,
facebook-support.com,0,
facebook-user.com,100,
facebook-verify.com,100,
facebookaccount.com,97,
facebookauth.com,97,
facebookconnect.com,66,
facebookinfo.com,97,
facebooklogin.com,97,
facebookmail.com,0,
facebookmy.com,97,
facebookonline.com,97,
facebookpayment.com,97,
facebookportal.com,0,
